sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc1,fanda,dola,50,0.12,0.0,0.16,0.8,0.04
,truthfulqa,mc1,fanda,panda_switch,50,0.06,0.0,0.08,0.9,0.02
,truthfulqa,mc1,fanda,pure_greedy,50,0.06,0.0,0.08,0.9,0.02
,truthfulqa,mc1,fanda,top_k,50,0.36,0.0,0.36,0.64,0.0
,truthfulqa,mc1,fanda,top_p,50,0.4,0.0,0.4,0.6,0.0
,truthfulqa,mc1,dola,fanda,50,-0.12,0.0,0.04,0.8,0.16
,truthfulqa,mc1,dola,panda_switch,50,-0.06,0.0,0.04,0.86,0.1
,truthfulqa,mc1,dola,pure_greedy,50,-0.06,0.0,0.06,0.82,0.12
,truthfulqa,mc1,dola,top_k,50,0.24,0.0,0.24,0.76,0.0
,truthfulqa,mc1,dola,top_p,50,0.28,0.0,0.28,0.72,0.0
,truthfulqa,mc1,panda_switch,fanda,50,-0.06,0.0,0.02,0.9,0.08
,truthfulqa,mc1,panda_switch,dola,50,0.06,0.0,0.1,0.86,0.04
,truthfulqa,mc1,panda_switch,pure_greedy,50,0.0,0.0,0.06,0.88,0.06
,truthfulqa,mc1,panda_switch,top_k,50,0.3,0.0,0.3,0.7,0.0
,truthfulqa,mc1,panda_switch,top_p,50,0.34,0.0,0.34,0.66,0.0
,truthfulqa,mc1,pure_greedy,fanda,50,-0.06,0.0,0.02,0.9,0.08
,truthfulqa,mc1,pure_greedy,dola,50,0.06,0.0,0.12,0.82,0.06
,truthfulqa,mc1,pure_greedy,panda_switch,50,0.0,0.0,0.06,0.88,0.06
,truthfulqa,mc1,pure_greedy,top_k,50,0.3,0.0,0.3,0.7,0.0
,truthfulqa,mc1,pure_greedy,top_p,50,0.34,0.0,0.34,0.66,0.0
,truthfulqa,mc1,top_k,fanda,50,-0.36,0.0,0.0,0.64,0.36
,truthfulqa,mc1,top_k,dola,50,-0.24,0.0,0.0,0.76,0.24
,truthfulqa,mc1,top_k,panda_switch,50,-0.3,0.0,0.0,0.7,0.3
