benchmark,metric_name,decoder,decoder_label,score_mean,score_std,num_examples,decision_margin_mean,correct_margin_mean,format_valid_rate,latency_seconds_mean,decoder_steps_mean,forward_passes_mean,latency_per_step_ms_mean,latency_per_forward_ms_mean,steps_per_second_mean,tokens_per_forward_mean,factual_speedup_mean,avg_alpha,alpha_std,avg_selected_layer,switch_rate,avg_instability,avg_risk_score,trigger_rate,avg_jsd_current,avg_selection_margin,avg_selection_score,fallback_rate,avg_baseline_margin,avg_jacobi_passes,avg_jacobi_window_size,avg_jacobi_stable_prefix,avg_jacobi_commit_len,jacobi_convergence_rate,panda_disagreement_rate,panda_truth_selection_rate,avg_panda_divergence,avg_panda_safe_confidence,avg_panda_truth_confidence,avg_panda_agreement_prefix,panda_arbitration_rate,score_sem
truthfulqa,mc1,fanda,fanda,0.4,0.49487165930539356,50,-18.97512656884675,-18.97512656884675,,9.763205099741754,120.5,120.5,81.4007176706641,81.4007176706641,12.315485224942433,1.0,1.0,1.0,0.0,3.525182373182373,0.13527211677211676,12.447005571736414,0.23428604869330424,0.39278127428127424,0.6903204985801876,-0.06874108577847186,-0.35679034018367434,0.0,5.229919457495629,,,,,,0.39278127428127424,1.0,0.23428604869330424,0.8055174039959178,0.7551058221036482,,0.0,0.06998542122237653
truthfulqa,mc1,dola,dola,0.28,0.4535573676110726,50,-1362.9986425648342,-1362.9986425648342,,9.533601276077388,120.5,120.5,79.12661588886367,79.12661588886367,12.662733581026362,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,6.935722875453289e-05,,6.935722875453289e-05,,,,,,,,,,,,,,,0.06414269805898185
truthfulqa,mc1,panda_switch,panda_switch,0.34,0.4785181206984064,50,-14.197728718414785,-14.197728718414785,,21.762219447028766,120.5,240.9,180.72274006964378,90.3882407750427,5.546569561857058,0.5001504757013232,0.5001504757013232,0.1833756047873695,0.2682254455447433,2.378053746906688,0.6896264846264846,12.47659651925994,0.21298589007941243,0.36137966445319386,0.6928225249411204,-0.0692756722901506,0.85496922477661,0.8166243952126305,5.440535461729855,2.0,3.1253237938532057,1.0173756047873694,1.0173756047873694,0.15363651054827523,0.36137966445319386,0.1833756047873695,0.21298589007941243,0.8195704273828199,0.7502947550926694,1.315828779064073,0.36137966445319386,0.06767268161329719
truthfulqa,mc1,pure_greedy,pure_greedy,0.34,0.47851812069840644,50,-11.884268882935224,-11.884268882935224,,4.7824521917005764,120.5,120.5,39.66951255094894,39.66951255094894,25.346598755932554,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0676726816132972
truthfulqa,mc1,top_k,top_k,0.04,0.1979486637221574,50,,,,4.9375745807823845,120.5,120.5,40.860870896663585,40.860870896663585,24.64606031302984,1.0,1.0,,,,,,,,,,0.0003298970764376092,,,,,,,,,,,,,,,0.027994168488950602
truthfulqa,mc1,top_p,top_p,0.0,0.0,50,,,,4.977944699240034,120.5,120.5,41.29700423858803,41.29700423858803,24.38878019046295,1.0,1.0,,,,,,,,,,6.612847306509731e-05,,,,,,,,,,,,,,,0.0
truthfulqa,mc2,fanda,fanda,0.5758458460194236,0.4934185141021038,50,-3.7192635422792546,-3.7192635422792546,,9.763205099741754,120.5,120.5,81.4007176706641,81.4007176706641,12.315485224942433,1.0,1.0,1.0,0.0,3.525182373182373,0.13527211677211676,12.447005571736414,0.23428604869330424,0.39278127428127424,0.6903204985801876,-0.06874108577847186,-0.35679034018367434,0.0,5.229919457495629,,,,,,0.39278127428127424,1.0,0.23428604869330424,0.8055174039959178,0.7551058221036482,,0.0,0.06977991545691754
truthfulqa,mc2,dola,dola,0.527824148006008,0.48686154799633286,50,-82.00793504895044,-82.00793504895044,,9.533601276077388,120.5,120.5,79.12661588886367,79.12661588886367,12.662733581026362,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,6.935722875453289e-05,,6.935722875453289e-05,,,,,,,,,,,,,,,0.06885262041743735
truthfulqa,mc2,panda_switch,panda_switch,0.5611622345040939,0.47631927239627936,50,-0.28432397078903987,-0.28432397078903987,,21.762219447028766,120.5,240.9,180.72274006964378,90.3882407750427,5.546569561857058,0.5001504757013232,0.5001504757013232,0.1833756047873695,0.2682254455447433,2.378053746906688,0.6896264846264846,12.47659651925994,0.21298589007941243,0.36137966445319386,0.6928225249411204,-0.0692756722901506,0.85496922477661,0.8166243952126305,5.440535461729855,2.0,3.1253237938532057,1.0173756047873694,1.0173756047873694,0.15363651054827523,0.36137966445319386,0.1833756047873695,0.21298589007941243,0.8195704273828199,0.7502947550926694,1.315828779064073,0.36137966445319386,0.06736171750425028
truthfulqa,mc2,pure_greedy,pure_greedy,0.5314276191876766,0.4751256166417676,50,0.17618234427214077,0.17618234427214077,,4.7824521917005764,120.5,120.5,39.66951255094894,39.66951255094894,25.346598755932554,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.06719290908856676
truthfulqa,mc2,top_k,top_k,0.22222197549009864,0.4409580622146244,50,,,,4.9375745807823845,120.5,120.5,40.860870896663585,40.860870896663585,24.64606031302984,1.0,1.0,,,,,,,,,,0.0003298970764376092,,,,,,,,,,,,,,,0.062360887202168085
truthfulqa,mc2,top_p,top_p,,0.0,50,,,,4.977944699240034,120.5,120.5,41.29700423858803,41.29700423858803,24.38878019046295,1.0,1.0,,,,,,,,,,6.612847306509731e-05,,,,,,,,,,,,,,,0.0
