sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc1,exp13_logit_no_top,exp13_logit_top,50,0.08,0.0,0.12,0.84,0.04
,truthfulqa,mc1,exp13_logit_no_top,exp13_logprob_no_top,50,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc1,exp13_logit_no_top,exp13_logprob_top,50,0.1,0.0,0.14,0.82,0.04
,truthfulqa,mc1,exp13_logit_top,exp13_logit_no_top,50,-0.08,0.0,0.04,0.84,0.12
,truthfulqa,mc1,exp13_logit_top,exp13_logprob_no_top,50,-0.08,0.0,0.04,0.84,0.12
,truthfulqa,mc1,exp13_logit_top,exp13_logprob_top,50,0.02,0.0,0.04,0.94,0.02
,truthfulqa,mc1,exp13_logprob_no_top,exp13_logit_no_top,50,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc1,exp13_logprob_no_top,exp13_logit_top,50,0.08,0.0,0.12,0.84,0.04
,truthfulqa,mc1,exp13_logprob_no_top,exp13_logprob_top,50,0.1,0.0,0.14,0.82,0.04
,truthfulqa,mc1,exp13_logprob_top,exp13_logit_no_top,50,-0.1,0.0,0.04,0.82,0.14
,truthfulqa,mc1,exp13_logprob_top,exp13_logit_top,50,-0.02,0.0,0.02,0.94,0.04
,truthfulqa,mc1,exp13_logprob_top,exp13_logprob_no_top,50,-0.1,0.0,0.04,0.82,0.14
,truthfulqa,mc2,exp13_logit_no_top,exp13_logit_top,50,0.007458783601704806,7.424773033788211e-31,0.52,0.0,0.48
,truthfulqa,mc2,exp13_logit_no_top,exp13_logprob_no_top,50,9.36572563194198e-09,0.0,0.48,0.1,0.42
,truthfulqa,mc2,exp13_logit_no_top,exp13_logprob_top,50,-0.00041058104695510314,1.618473959806211e-21,0.54,0.0,0.46
,truthfulqa,mc2,exp13_logit_top,exp13_logit_no_top,50,-0.007458783601704806,-7.424773033788211e-31,0.48,0.0,0.52
,truthfulqa,mc2,exp13_logit_top,exp13_logprob_no_top,50,-0.007458774235979185,-7.424784374135273e-31,0.48,0.0,0.52
,truthfulqa,mc2,exp13_logit_top,exp13_logprob_top,50,-0.0078693646486599,0.0,0.12,0.68,0.2
,truthfulqa,mc2,exp13_logprob_no_top,exp13_logit_no_top,50,-9.36572563194198e-09,0.0,0.42,0.1,0.48
,truthfulqa,mc2,exp13_logprob_no_top,exp13_logit_top,50,0.007458774235979185,7.424784374135273e-31,0.52,0.0,0.48
,truthfulqa,mc2,exp13_logprob_no_top,exp13_logprob_top,50,-0.0004105904126807198,1.618474919839848e-21,0.54,0.0,0.46
,truthfulqa,mc2,exp13_logprob_top,exp13_logit_no_top,50,0.00041058104695510314,-1.618473959806211e-21,0.46,0.0,0.54
,truthfulqa,mc2,exp13_logprob_top,exp13_logit_top,50,0.0078693646486599,0.0,0.2,0.68,0.12
,truthfulqa,mc2,exp13_logprob_top,exp13_logprob_no_top,50,0.0004105904126807198,-1.618474919839848e-21,0.46,0.0,0.54
,truthfulqa,mc3,exp13_logit_no_top,exp13_logit_top,50,0.029000000000000005,0.0,0.18,0.62,0.2
,truthfulqa,mc3,exp13_logit_no_top,exp13_logprob_no_top,50,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc3,exp13_logit_no_top,exp13_logprob_top,50,0.05566666666666667,0.0,0.2,0.66,0.14
,truthfulqa,mc3,exp13_logit_top,exp13_logit_no_top,50,-0.029000000000000005,0.0,0.2,0.62,0.18
,truthfulqa,mc3,exp13_logit_top,exp13_logprob_no_top,50,-0.029000000000000005,0.0,0.2,0.62,0.18
,truthfulqa,mc3,exp13_logit_top,exp13_logprob_top,50,0.02666666666666667,0.0,0.12,0.84,0.04
,truthfulqa,mc3,exp13_logprob_no_top,exp13_logit_no_top,50,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc3,exp13_logprob_no_top,exp13_logit_top,50,0.029000000000000005,0.0,0.18,0.62,0.2
,truthfulqa,mc3,exp13_logprob_no_top,exp13_logprob_top,50,0.05566666666666667,0.0,0.2,0.66,0.14
,truthfulqa,mc3,exp13_logprob_top,exp13_logit_no_top,50,-0.05566666666666667,0.0,0.14,0.66,0.2
,truthfulqa,mc3,exp13_logprob_top,exp13_logit_top,50,-0.02666666666666667,0.0,0.04,0.84,0.12
,truthfulqa,mc3,exp13_logprob_top,exp13_logprob_no_top,50,-0.05566666666666667,0.0,0.14,0.66,0.2
