benchmark,metric_name,decoder,decoder_label,score_mean,score_std,num_examples,decision_margin_mean,correct_margin_mean,format_valid_rate,latency_seconds_mean,decoder_steps_mean,forward_passes_mean,latency_per_step_ms_mean,latency_per_forward_ms_mean,steps_per_second_mean,tokens_per_forward_mean,factual_speedup_mean,avg_alpha,alpha_std,avg_selected_layer,switch_rate,selected_layer_match_rate,refresh_rate,avg_instability,avg_risk_score,trigger_rate,avg_jsd_current,avg_oracle_jsd_gap,avg_selection_margin,avg_selection_score,fallback_rate,avg_baseline_margin,avg_jacobi_passes,avg_jacobi_window_size,avg_jacobi_stable_prefix,avg_jacobi_commit_len,jacobi_convergence_rate,panda_disagreement_rate,panda_truth_selection_rate,avg_panda_divergence,avg_panda_safe_confidence,avg_panda_truth_confidence,avg_panda_agreement_prefix,panda_arbitration_rate,score_sem
truthfulqa,mc1,always_contrast_frozen,always_contrast_frozen,0.3,0.4629100498862757,50,-13.558947556891706,-13.558947556891706,,78.82108548753313,118.56,118.56,665.2631926381051,665.2631926381051,1.5036468121858622,1.0,1.0,1.0,0.0,4.8,0.0,0.2662490842490842,0.1734416416916417,12.238533571088428,0.23107168279999,0.3718165168165168,0.6923021198411584,0.0005453243466917636,-0.13880275597153433,-0.3685331177387636,0.0,5.537921153716075,,,,,,0.3718165168165168,1.0,0.23107168279999,0.8370459029073869,0.7499039177884697,,0.0,0.06546536707079771
truthfulqa,mc1,always_contrast_update1,always_contrast_update1,0.3,0.4629100498862757,50,-13.685413807938913,-13.685413807938913,,79.2018187155301,118.56,118.56,668.2222260070713,668.2222260070713,1.4970706934833444,1.0,1.0,1.0,0.0,2.442314995462054,0.7001734210921517,1.0,1.0,12.456775223790485,0.24718170766411166,0.39311220968573907,0.6928523996291873,0.0,-0.17005816062461399,-0.40607719521932856,0.0,5.481929994599457,,,,,,0.39311220968573907,1.0,0.24718170766411166,0.8328167522805701,0.7265533922762717,,0.0,0.06546536707079771
truthfulqa,mc1,always_contrast_update2,always_contrast_update2,0.28,0.4535573676110726,50,-13.697309425950518,-13.697309425950518,,78.9764994818176,118.56,118.56,666.8903970775665,666.8903970775665,1.5000291988275292,1.0,1.0,1.0,0.0,3.210058150999328,0.29594515151171497,0.6530155269567034,0.5317441904500728,12.336304805983374,0.23166748573308818,0.3764610552845847,0.6926577698322484,0.00015205431515985732,-0.1554823073269983,-0.38970322954589826,0.0,5.5173519034198035,,,,,,0.3764610552845847,1.0,0.23166748573308818,0.8361174893118581,0.7370882414452545,,0.0,0.06414269805898185
truthfulqa,mc1,always_contrast_update4,always_contrast_update4,0.3,0.4629100498862757,50,-13.911072970558228,-13.911072970558228,,78.97550919952162,118.56,118.56,666.2769969368105,666.2769969368105,1.5014181527798232,1.0,1.0,1.0,0.0,3.655364674541145,0.12726855858280006,0.4569783729342553,0.31510257716140067,12.189263457885907,0.22876409967679506,0.3726265009500304,0.6923787362000781,0.0004748484471141053,-0.155404687501866,-0.38431285470489696,0.0,5.6108850135388515,,,,,,0.3726265009500304,1.0,0.22876409967679506,0.8377502227753895,0.7395658400217688,,0.0,0.06546536707079771
truthfulqa,mc1,always_contrast_update8,always_contrast_update8,0.32,0.47121207149916117,50,-13.50612479750841,-13.50612479750841,,79.0221439340245,118.56,118.56,666.541828255934,666.541828255934,1.5008040970742391,1.0,1.0,1.0,0.0,4.3259804509216275,0.04740431378047477,0.35166047514576926,0.2199285681638623,12.219542604348796,0.23230469492490047,0.3758664276899571,0.6921348687209491,0.0007187688189972854,-0.14250459647502445,-0.3717125182116859,0.0,5.537445510333723,,,,,,0.3758664276899571,1.0,0.23230469492490047,0.8374722097108237,0.7471761501521891,,0.0,0.06663945022680343
truthfulqa,mc2,always_contrast_frozen,always_contrast_frozen,0.5196836293360271,0.4886528371417923,50,1.3502514155422207,1.3502514155422207,,78.82108548753313,118.56,118.56,665.2631926381051,665.2631926381051,1.5036468121858622,1.0,1.0,1.0,0.0,4.8,0.0,0.2662490842490842,0.1734416416916417,12.238533571088428,0.23107168279999,0.3718165168165168,0.6923021198411584,0.0005453243466917636,-0.13880275597153433,-0.3685331177387636,0.0,5.537921153716075,,,,,,0.3718165168165168,1.0,0.23107168279999,0.8370459029073869,0.7499039177884697,,0.0,0.0691059469578014
truthfulqa,mc2,always_contrast_update1,always_contrast_update1,0.5360157285430109,0.4688710571725184,50,1.2943300969481732,1.2943300969481732,,79.2018187155301,118.56,118.56,668.2222260070713,668.2222260070713,1.4970706934833444,1.0,1.0,1.0,0.0,2.442314995462054,0.7001734210921517,1.0,1.0,12.456775223790485,0.24718170766411166,0.39311220968573907,0.6928523996291873,0.0,-0.17005816062461399,-0.40607719521932856,0.0,5.481929994599457,,,,,,0.39311220968573907,1.0,0.24718170766411166,0.8328167522805701,0.7265533922762717,,0.0,0.06630838080575864
truthfulqa,mc2,always_contrast_update2,always_contrast_update2,0.5288582317816044,0.4773897718886706,50,1.072921192402007,1.072921192402007,,78.9764994818176,118.56,118.56,666.8903970775665,666.8903970775665,1.5000291988275292,1.0,1.0,1.0,0.0,3.210058150999328,0.29594515151171497,0.6530155269567034,0.5317441904500728,12.336304805983374,0.23166748573308818,0.3764610552845847,0.6926577698322484,0.00015205431515985732,-0.1554823073269983,-0.38970322954589826,0.0,5.5173519034198035,,,,,,0.3764610552845847,1.0,0.23166748573308818,0.8361174893118581,0.7370882414452545,,0.0,0.0675131089943156
truthfulqa,mc2,always_contrast_update4,always_contrast_update4,0.5153794954796925,0.4825591122508631,50,0.902356524955166,0.902356524955166,,78.97550919952162,118.56,118.56,666.2769969368105,666.2769969368105,1.5014181527798232,1.0,1.0,1.0,0.0,3.655364674541145,0.12726855858280006,0.4569783729342553,0.31510257716140067,12.189263457885907,0.22876409967679506,0.3726265009500304,0.6923787362000781,0.0004748484471141053,-0.155404687501866,-0.38431285470489696,0.0,5.6108850135388515,,,,,,0.3726265009500304,1.0,0.22876409967679506,0.8377502227753895,0.7395658400217688,,0.0,0.06824416411918914
truthfulqa,mc2,always_contrast_update8,always_contrast_update8,0.5314915172283015,0.48601345437745186,50,0.9664523660965548,0.9664523660965548,,79.0221439340245,118.56,118.56,666.541828255934,666.541828255934,1.5008040970742391,1.0,1.0,1.0,0.0,4.3259804509216275,0.04740431378047477,0.35166047514576926,0.2199285681638623,12.219542604348796,0.23230469492490047,0.3758664276899571,0.6921348687209491,0.0007187688189972854,-0.14250459647502445,-0.3717125182116859,0.0,5.537445510333723,,,,,,0.3758664276899571,1.0,0.23230469492490047,0.8374722097108237,0.7471761501521891,,0.0,0.06873268186763899
truthfulqa,mc3,always_contrast_frozen,always_contrast_frozen,0.30633333333333335,0.35602826074481725,50,-14.675206463977993,-14.675206463977993,,78.82108548753313,118.56,118.56,665.2631926381051,665.2631926381051,1.5036468121858622,1.0,1.0,1.0,0.0,4.8,0.0,0.2662490842490842,0.1734416416916417,12.238533571088428,0.23107168279999,0.3718165168165168,0.6923021198411584,0.0005453243466917636,-0.13880275597153433,-0.3685331177387636,0.0,5.537921153716075,,,,,,0.3718165168165168,1.0,0.23107168279999,0.8370459029073869,0.7499039177884697,,0.0,0.05034999949334251
truthfulqa,mc3,always_contrast_update1,always_contrast_update1,0.273,0.32850050994483043,50,-14.584433581071309,-14.584433581071309,,79.2018187155301,118.56,118.56,668.2222260070713,668.2222260070713,1.4970706934833444,1.0,1.0,1.0,0.0,2.442314995462054,0.7001734210921517,1.0,1.0,12.456775223790485,0.24718170766411166,0.39311220968573907,0.6928523996291873,0.0,-0.17005816062461399,-0.40607719521932856,0.0,5.481929994599457,,,,,,0.39311220968573907,1.0,0.24718170766411166,0.8328167522805701,0.7265533922762717,,0.0,0.046456987641045694
