sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc1,matched_alpha_dola_0p10,matched_alpha_dola_0p50,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc1,matched_alpha_dola_0p10,matched_alpha_dola_0p95,50,0.04,0.0,0.04,0.96,0.0
,truthfulqa,mc1,matched_alpha_dola_0p10,official_dola,50,0.06,0.0,0.06,0.94,0.0
,truthfulqa,mc1,matched_alpha_dola_0p50,matched_alpha_dola_0p10,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,matched_alpha_dola_0p50,matched_alpha_dola_0p95,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc1,matched_alpha_dola_0p50,official_dola,50,0.04,0.0,0.04,0.96,0.0
,truthfulqa,mc1,matched_alpha_dola_0p95,matched_alpha_dola_0p10,50,-0.04,0.0,0.0,0.96,0.04
,truthfulqa,mc1,matched_alpha_dola_0p95,matched_alpha_dola_0p50,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,matched_alpha_dola_0p95,official_dola,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc1,official_dola,matched_alpha_dola_0p10,50,-0.06,0.0,0.0,0.94,0.06
,truthfulqa,mc1,official_dola,matched_alpha_dola_0p50,50,-0.04,0.0,0.0,0.96,0.04
,truthfulqa,mc1,official_dola,matched_alpha_dola_0p95,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc2,matched_alpha_dola_0p10,matched_alpha_dola_0p50,50,0.0031565482991971604,0.0,0.1,0.74,0.16
,truthfulqa,mc2,matched_alpha_dola_0p10,matched_alpha_dola_0p95,50,-0.002081340395651996,0.0,0.12,0.72,0.16
,truthfulqa,mc2,matched_alpha_dola_0p10,official_dola,50,-0.0025848646455454284,0.0,0.1,0.72,0.18
,truthfulqa,mc2,matched_alpha_dola_0p50,matched_alpha_dola_0p10,50,-0.0031565482991971604,0.0,0.16,0.74,0.1
,truthfulqa,mc2,matched_alpha_dola_0p50,matched_alpha_dola_0p95,50,-0.005237888694849161,0.0,0.12,0.72,0.16
,truthfulqa,mc2,matched_alpha_dola_0p50,official_dola,50,-0.005741412944742591,0.0,0.1,0.72,0.18
,truthfulqa,mc2,matched_alpha_dola_0p95,matched_alpha_dola_0p10,50,0.002081340395651996,0.0,0.16,0.72,0.12
,truthfulqa,mc2,matched_alpha_dola_0p95,matched_alpha_dola_0p50,50,0.005237888694849161,0.0,0.16,0.72,0.12
,truthfulqa,mc2,matched_alpha_dola_0p95,official_dola,50,-0.0005035242498934303,0.0,0.12,0.7,0.18
,truthfulqa,mc2,official_dola,matched_alpha_dola_0p10,50,0.0025848646455454284,0.0,0.18,0.72,0.1
,truthfulqa,mc2,official_dola,matched_alpha_dola_0p50,50,0.005741412944742591,0.0,0.18,0.72,0.1
,truthfulqa,mc2,official_dola,matched_alpha_dola_0p95,50,0.0005035242498934303,0.0,0.18,0.7,0.12
,truthfulqa,mc3,matched_alpha_dola_0p10,matched_alpha_dola_0p50,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc3,matched_alpha_dola_0p10,matched_alpha_dola_0p95,50,0.026666666666666665,0.0,0.04,0.96,0.0
,truthfulqa,mc3,matched_alpha_dola_0p10,official_dola,50,0.03333333333333333,0.0,0.06,0.94,0.0
,truthfulqa,mc3,matched_alpha_dola_0p50,matched_alpha_dola_0p10,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc3,matched_alpha_dola_0p50,matched_alpha_dola_0p95,50,0.006666666666666666,0.0,0.02,0.98,0.0
,truthfulqa,mc3,matched_alpha_dola_0p50,official_dola,50,0.013333333333333334,0.0,0.04,0.96,0.0
,truthfulqa,mc3,matched_alpha_dola_0p95,matched_alpha_dola_0p10,50,-0.026666666666666665,0.0,0.0,0.96,0.04
,truthfulqa,mc3,matched_alpha_dola_0p95,matched_alpha_dola_0p50,50,-0.006666666666666666,0.0,0.0,0.98,0.02
,truthfulqa,mc3,matched_alpha_dola_0p95,official_dola,50,0.006666666666666667,0.0,0.02,0.98,0.0
,truthfulqa,mc3,official_dola,matched_alpha_dola_0p10,50,-0.03333333333333333,0.0,0.0,0.94,0.06
,truthfulqa,mc3,official_dola,matched_alpha_dola_0p50,50,-0.013333333333333334,0.0,0.0,0.96,0.04
,truthfulqa,mc3,official_dola,matched_alpha_dola_0p95,50,-0.006666666666666667,0.0,0.0,0.98,0.02
