benchmark,metric_name,decoder,decoder_label,score_mean,score_std,num_examples,decision_margin_mean,correct_margin_mean,format_valid_rate,latency_seconds_mean,decoder_steps_mean,forward_passes_mean,latency_per_step_ms_mean,latency_per_forward_ms_mean,steps_per_second_mean,tokens_per_forward_mean,factual_speedup_mean,avg_alpha,alpha_std,avg_selected_layer,switch_rate,avg_instability,avg_risk_score,trigger_rate,avg_jsd_current,avg_selection_margin,avg_selection_score,fallback_rate,avg_baseline_margin,avg_jacobi_passes,avg_jacobi_window_size,avg_jacobi_stable_prefix,avg_jacobi_commit_len,jacobi_convergence_rate,panda_disagreement_rate,panda_truth_selection_rate,avg_panda_divergence,avg_panda_safe_confidence,avg_panda_truth_confidence,avg_panda_agreement_prefix,panda_arbitration_rate,score_sem
truthfulqa,mc1,matched_alpha_dola_0p10,matched_alpha_dola_0p10,0.34,0.4785181206984064,50,-1360.4238843230125,-1360.4238843230125,,9.379388937139957,120.5,120.5,77.62459559399986,77.62459559399986,12.917359128688794,1.0,1.0,0.1,0.0,2.695265678765679,0.7226188256188256,,,,6.946842603407308e-05,,6.946842603407308e-05,,,,,,,,,,,,,,,0.06767268161329719
truthfulqa,mc1,matched_alpha_dola_0p50,matched_alpha_dola_0p50,0.32,0.47121207149916106,50,-1361.1528006302678,-1361.1528006302678,,9.383545121120878,120.5,120.5,77.62245882979003,77.62245882979003,12.910580169755528,1.0,1.0,0.5,0.0,2.6693287398875634,0.7154713897213897,,,,6.971234925980062e-05,,6.971234925980062e-05,,,,,,,,,,,,,,,0.06663945022680341
truthfulqa,mc1,matched_alpha_dola_0p95,matched_alpha_dola_0p95,0.3,0.4629100498862757,50,-1362.7690106729744,-1362.7690106729744,,9.377726215819894,120.5,120.5,77.5701203906839,77.5701203906839,12.918322156692346,1.0,1.0,0.95,0.0,2.679661283161283,0.7178752358752359,,,,6.942436896655488e-05,,6.942436896655488e-05,,,,,,,,,,,,,,,0.06546536707079771
truthfulqa,mc1,official_dola,official_dola,0.28,0.4535573676110726,50,-1362.9986425648342,-1362.9986425648342,,9.39228042141971,120.5,120.5,77.64351385719955,77.64351385719955,12.91721297181327,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,6.935722875453289e-05,,6.935722875453289e-05,,,,,,,,,,,,,,,0.06414269805898185
truthfulqa,mc2,matched_alpha_dola_0p10,matched_alpha_dola_0p10,0.5252392833604625,0.46398332817290433,50,-80.34876959033957,-80.34876959033957,,9.379388937139957,120.5,120.5,77.62459559399986,77.62459559399986,12.917359128688794,1.0,1.0,0.1,0.0,2.695265678765679,0.7226188256188256,,,,6.946842603407308e-05,,6.946842603407308e-05,,,,,,,,,,,,,,,0.06561715154171278
truthfulqa,mc2,matched_alpha_dola_0p50,matched_alpha_dola_0p50,0.5220827350612653,0.473069655698999,50,-80.90665814198306,-80.90665814198306,,9.383545121120878,120.5,120.5,77.62245882979003,77.62245882979003,12.910580169755528,1.0,1.0,0.5,0.0,2.6693287398875634,0.7154713897213897,,,,6.971234925980062e-05,,6.971234925980062e-05,,,,,,,,,,,,,,,0.06690215230366948
truthfulqa,mc2,matched_alpha_dola_0p95,matched_alpha_dola_0p95,0.5273206237561145,0.4864222850394217,50,-81.87142605894957,-81.87142605894957,,9.377726215819894,120.5,120.5,77.5701203906839,77.5701203906839,12.918322156692346,1.0,1.0,0.95,0.0,2.679661283161283,0.7178752358752359,,,,6.942436896655488e-05,,6.942436896655488e-05,,,,,,,,,,,,,,,0.06879049925432616
truthfulqa,mc2,official_dola,official_dola,0.527824148006008,0.48686154799633286,50,-82.00793504895044,-82.00793504895044,,9.39228042141971,120.5,120.5,77.64351385719955,77.64351385719955,12.91721297181327,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,6.935722875453289e-05,,6.935722875453289e-05,,,,,,,,,,,,,,,0.06885262041743735
truthfulqa,mc3,matched_alpha_dola_0p10,matched_alpha_dola_0p10,0.30633333333333335,0.3611660694268157,50,-1483.3995217766424,-1483.3995217766424,,9.379388937139957,120.5,120.5,77.62459559399986,77.62459559399986,12.917359128688794,1.0,1.0,0.1,0.0,2.695265678765679,0.7226188256188256,,,,6.946842603407308e-05,,6.946842603407308e-05,,,,,,,,,,,,,,,0.05107659536523856
truthfulqa,mc3,matched_alpha_dola_0p50,matched_alpha_dola_0p50,0.28633333333333333,0.3494681738515646,50,-1484.247039390331,-1484.247039390331,,9.383545121120878,120.5,120.5,77.62245882979003,77.62245882979003,12.910580169755528,1.0,1.0,0.5,0.0,2.6693287398875634,0.7154713897213897,,,,6.971234925980062e-05,,6.971234925980062e-05,,,,,,,,,,,,,,,0.04942226310786412
truthfulqa,mc3,matched_alpha_dola_0p95,matched_alpha_dola_0p95,0.2796666666666667,0.34521822602922697,50,-1486.0900251368898,-1486.0900251368898,,9.377726215819894,120.5,120.5,77.5701203906839,77.5701203906839,12.918322156692346,1.0,1.0,0.95,0.0,2.679661283161283,0.7178752358752359,,,,6.942436896655488e-05,,6.942436896655488e-05,,,,,,,,,,,,,,,0.04882122972289134
truthfulqa,mc3,official_dola,official_dola,0.273,0.33406195875952327,50,-1486.333130778547,-1486.333130778547,,9.39228042141971,120.5,120.5,77.64351385719955,77.64351385719955,12.91721297181327,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,6.935722875453289e-05,,6.935722875453289e-05,,,,,,,,,,,,,,,0.04724349527506393
