sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc1,fanda,block_refined_fanda,10,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc1,fanda,panda,10,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc1,block_refined_fanda,fanda,10,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc1,block_refined_fanda,panda,10,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc1,panda,fanda,10,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc1,panda,block_refined_fanda,10,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc2,fanda,block_refined_fanda,10,0.056270369711121704,-1.8640247421333744e-13,0.4,0.0,0.6
,truthfulqa,mc2,fanda,panda,10,-0.021867243103838713,-4.891346323375981e-09,0.4,0.0,0.6
,truthfulqa,mc2,block_refined_fanda,fanda,10,-0.056270369711121704,1.8640247421333744e-13,0.6,0.0,0.4
,truthfulqa,mc2,block_refined_fanda,panda,10,-0.0781376128149604,-7.025713991553175e-10,0.4,0.0,0.6
,truthfulqa,mc2,panda,fanda,10,0.021867243103838713,4.891346323375981e-09,0.6,0.0,0.4
,truthfulqa,mc2,panda,block_refined_fanda,10,0.0781376128149604,7.025713991553175e-10,0.6,0.0,0.4
,truthfulqa,mc3,fanda,block_refined_fanda,10,0.03333333333333333,0.0,0.1,0.9,0.0
,truthfulqa,mc3,fanda,panda,10,0.0,0.0,0.1,0.8,0.1
,truthfulqa,mc3,block_refined_fanda,fanda,10,-0.03333333333333333,0.0,0.0,0.9,0.1
,truthfulqa,mc3,block_refined_fanda,panda,10,-0.03333333333333333,0.0,0.1,0.7,0.2
,truthfulqa,mc3,panda,fanda,10,0.0,0.0,0.1,0.8,0.1
,truthfulqa,mc3,panda,block_refined_fanda,10,0.03333333333333333,0.0,0.2,0.7,0.1
