sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc1,contrast_margin_switch,guarded_argmax_switch,50,-0.04,0.0,0.02,0.92,0.06
,truthfulqa,mc1,contrast_margin_switch,pure_argmax_switch,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,contrast_margin_switch,sticky_contrast_switch,50,-0.02,0.0,0.02,0.94,0.04
,truthfulqa,mc1,guarded_argmax_switch,contrast_margin_switch,50,0.04,0.0,0.06,0.92,0.02
,truthfulqa,mc1,guarded_argmax_switch,pure_argmax_switch,50,0.02,0.0,0.04,0.94,0.02
,truthfulqa,mc1,guarded_argmax_switch,sticky_contrast_switch,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc1,pure_argmax_switch,contrast_margin_switch,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc1,pure_argmax_switch,guarded_argmax_switch,50,-0.02,0.0,0.02,0.94,0.04
,truthfulqa,mc1,pure_argmax_switch,sticky_contrast_switch,50,0.0,0.0,0.04,0.92,0.04
,truthfulqa,mc1,sticky_contrast_switch,contrast_margin_switch,50,0.02,0.0,0.04,0.94,0.02
,truthfulqa,mc1,sticky_contrast_switch,guarded_argmax_switch,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,sticky_contrast_switch,pure_argmax_switch,50,0.0,0.0,0.04,0.92,0.04
,truthfulqa,mc2,contrast_margin_switch,guarded_argmax_switch,50,0.027883416909551376,-5.079061709323084e-22,0.42,0.06,0.52
,truthfulqa,mc2,contrast_margin_switch,pure_argmax_switch,50,0.003208610574690822,6.704272687109035e-15,0.58,0.12,0.3
,truthfulqa,mc2,contrast_margin_switch,sticky_contrast_switch,50,0.055413878312503176,3.6229480797816056e-24,0.5,0.04,0.46
,truthfulqa,mc2,guarded_argmax_switch,contrast_margin_switch,50,-0.027883416909551376,5.079061709323084e-22,0.52,0.06,0.42
,truthfulqa,mc2,guarded_argmax_switch,pure_argmax_switch,50,-0.024674806334860553,2.2886693415121287e-15,0.56,0.02,0.42
,truthfulqa,mc2,guarded_argmax_switch,sticky_contrast_switch,50,0.0275304614029518,3.6229502850663226e-24,0.5,0.08,0.42
,truthfulqa,mc2,pure_argmax_switch,contrast_margin_switch,50,-0.003208610574690822,-6.704272687109035e-15,0.3,0.12,0.58
,truthfulqa,mc2,pure_argmax_switch,guarded_argmax_switch,50,0.024674806334860553,-2.2886693415121287e-15,0.42,0.02,0.56
,truthfulqa,mc2,pure_argmax_switch,sticky_contrast_switch,50,0.052205267737812366,-4.726317900505566e-18,0.44,0.02,0.54
,truthfulqa,mc2,sticky_contrast_switch,contrast_margin_switch,50,-0.055413878312503176,-3.6229480797816056e-24,0.46,0.04,0.5
,truthfulqa,mc2,sticky_contrast_switch,guarded_argmax_switch,50,-0.0275304614029518,-3.6229502850663226e-24,0.42,0.08,0.5
,truthfulqa,mc2,sticky_contrast_switch,pure_argmax_switch,50,-0.052205267737812366,4.726317900505566e-18,0.54,0.02,0.44
,truthfulqa,mc3,contrast_margin_switch,guarded_argmax_switch,50,0.002333333333333334,0.0,0.08,0.84,0.08
,truthfulqa,mc3,contrast_margin_switch,pure_argmax_switch,50,-0.021666666666666664,0.0,0.0,0.94,0.06
,truthfulqa,mc3,contrast_margin_switch,sticky_contrast_switch,50,0.007333333333333333,0.0,0.1,0.82,0.08
,truthfulqa,mc3,guarded_argmax_switch,contrast_margin_switch,50,-0.002333333333333334,0.0,0.08,0.84,0.08
,truthfulqa,mc3,guarded_argmax_switch,pure_argmax_switch,50,-0.023999999999999994,0.0,0.06,0.82,0.12
,truthfulqa,mc3,guarded_argmax_switch,sticky_contrast_switch,50,0.0049999999999999975,0.0,0.06,0.88,0.06
,truthfulqa,mc3,pure_argmax_switch,contrast_margin_switch,50,0.021666666666666664,0.0,0.06,0.94,0.0
,truthfulqa,mc3,pure_argmax_switch,guarded_argmax_switch,50,0.023999999999999994,0.0,0.12,0.82,0.06
,truthfulqa,mc3,pure_argmax_switch,sticky_contrast_switch,50,0.029000000000000005,0.0,0.14,0.78,0.08
,truthfulqa,mc3,sticky_contrast_switch,contrast_margin_switch,50,-0.007333333333333333,0.0,0.08,0.82,0.1
,truthfulqa,mc3,sticky_contrast_switch,guarded_argmax_switch,50,-0.0049999999999999975,0.0,0.06,0.88,0.06
,truthfulqa,mc3,sticky_contrast_switch,pure_argmax_switch,50,-0.029000000000000005,0.0,0.08,0.78,0.14
