sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc1,fanda,dola,50,0.12,0.0,0.16,0.8,0.04
,truthfulqa,mc1,fanda,oracle_token_switch,50,0.04,0.0,0.08,0.88,0.04
,truthfulqa,mc1,fanda,pure_argmax_switchv2,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc1,fanda,pure_greedy,50,0.06,0.0,0.08,0.9,0.02
,truthfulqa,mc1,dola,fanda,50,-0.12,0.0,0.04,0.8,0.16
,truthfulqa,mc1,dola,oracle_token_switch,50,-0.08,0.0,0.04,0.84,0.12
,truthfulqa,mc1,dola,pure_argmax_switchv2,50,-0.1,0.0,0.06,0.78,0.16
,truthfulqa,mc1,dola,pure_greedy,50,-0.06,0.0,0.06,0.82,0.12
,truthfulqa,mc1,oracle_token_switch,fanda,50,-0.04,0.0,0.04,0.88,0.08
,truthfulqa,mc1,oracle_token_switch,dola,50,0.08,0.0,0.12,0.84,0.04
,truthfulqa,mc1,oracle_token_switch,pure_argmax_switchv2,50,-0.02,0.0,0.06,0.86,0.08
,truthfulqa,mc1,oracle_token_switch,pure_greedy,50,0.02,0.0,0.04,0.94,0.02
,truthfulqa,mc1,pure_argmax_switchv2,fanda,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,pure_argmax_switchv2,dola,50,0.1,0.0,0.16,0.78,0.06
,truthfulqa,mc1,pure_argmax_switchv2,oracle_token_switch,50,0.02,0.0,0.08,0.86,0.06
,truthfulqa,mc1,pure_argmax_switchv2,pure_greedy,50,0.04,0.0,0.08,0.88,0.04
,truthfulqa,mc1,pure_greedy,fanda,50,-0.06,0.0,0.02,0.9,0.08
,truthfulqa,mc1,pure_greedy,dola,50,0.06,0.0,0.12,0.82,0.06
,truthfulqa,mc1,pure_greedy,oracle_token_switch,50,-0.02,0.0,0.02,0.94,0.04
,truthfulqa,mc1,pure_greedy,pure_argmax_switchv2,50,-0.04,0.0,0.04,0.88,0.08
,truthfulqa,mc2,fanda,dola,50,0.04802169801341567,7.51548416577561e-31,0.5,0.02,0.48
,truthfulqa,mc2,fanda,oracle_token_switch,50,0.04883058307316273,-1.0138627798597605e-12,0.44,0.0,0.56
,truthfulqa,mc2,fanda,pure_argmax_switchv2,50,0.05060705088460997,-1.0192299052151819e-17,0.48,0.0,0.52
,truthfulqa,mc2,fanda,pure_greedy,50,0.04441822683174707,-3.0710111823956907e-10,0.38,0.0,0.62
,truthfulqa,mc2,dola,fanda,50,-0.04802169801341567,-7.51548416577561e-31,0.48,0.02,0.5
,truthfulqa,mc2,dola,oracle_token_switch,50,0.0008088850597470609,1.7376655669920638e-12,0.52,0.0,0.48
,truthfulqa,mc2,dola,pure_argmax_switchv2,50,0.002585352871194306,3.958999794662072e-12,0.5,0.0,0.5
,truthfulqa,mc2,dola,pure_greedy,50,-0.0036034711816686025,8.493085326441856e-15,0.5,0.0,0.5
,truthfulqa,mc2,oracle_token_switch,fanda,50,-0.04883058307316273,1.0138627798597605e-12,0.56,0.0,0.44
,truthfulqa,mc2,oracle_token_switch,dola,50,-0.0008088850597470609,-1.7376655669920638e-12,0.48,0.0,0.52
,truthfulqa,mc2,oracle_token_switch,pure_argmax_switchv2,50,0.0017764678114472368,-1.1633204283386358e-08,0.5,0.0,0.5
,truthfulqa,mc2,oracle_token_switch,pure_greedy,50,-0.0044123562414156645,-2.01891341977678e-08,0.38,0.0,0.62
,truthfulqa,mc2,pure_argmax_switchv2,fanda,50,-0.05060705088460997,1.0192299052151819e-17,0.52,0.0,0.48
,truthfulqa,mc2,pure_argmax_switchv2,dola,50,-0.002585352871194306,-3.958999794662072e-12,0.5,0.0,0.5
,truthfulqa,mc2,pure_argmax_switchv2,oracle_token_switch,50,-0.0017764678114472368,1.1633204283386358e-08,0.5,0.0,0.5
,truthfulqa,mc2,pure_argmax_switchv2,pure_greedy,50,-0.006188824052862902,-9.143458426960071e-12,0.38,0.02,0.6
,truthfulqa,mc2,pure_greedy,fanda,50,-0.04441822683174707,3.0710111823956907e-10,0.62,0.0,0.38
,truthfulqa,mc2,pure_greedy,dola,50,0.0036034711816686025,-8.493085326441856e-15,0.5,0.0,0.5
